sentence,clean_text,sentimen,label_sentimen
Tempatnya nyaman bgt buat makan bersama keluarga dan sahabat. Menunya bervariatif,tempatnya nyaman bgt makan keluarga sahabat. menunya bervariatif,0.0,0
Pelayanan sangat ramah .. dan ok cepat respon pegawainya dan yaman makanan enak siip pokoknya,pelayanan ramah .. ok cepat respon pegawainya yaman makanan enak siip pokoknya,0.296,1
"Rasanya masih otentik, terutama chicken roll nya, super","otentik, chicken roll nya, super",0.5994,1
"Untuk ojol,mohon kalo resto belum buka jgn dibuka dulu aplikasinya (SHOPEE,GOJEK, GRAB)","ojol,mohon kalo resto buka jgn dibuka aplikasinya (shopee,gojek, grab)",0.0,0
"Terletak di lantai 1, lokasi tempat ini mudah ditemukan dari pintu barat plaza surabaya. Kursi kursinya pun banyak, tidak perlu khawatir tidak dapat tempat duduk meskipun di bulan puasa. Harga dan paket yang ditawarkan pun sama seperti …","terletak lantai 1, lokasi mudah ditemukan pintu barat plaza surabaya. kursi kursinya banyak, khawatir duduk puasa. harga paket ditawarkan …",0.0,0
"place is gud but the dish taste so bad, the chicken flour is way too thick makes my jaw got heavy exercise, and the meat is raw, as you can see it looks like a baseball bat","place is gud but the dish taste so bad, the chicken flour is way too thick makes my jaw got heavy exercise, and the meat is raw, as you can see it looks like a baseball bat",-0.6107,0
Tempat nyaman n makanannya enak..harga standart..,nyaman n makanannya enak..harga standart..,0.0,0
"Bersih, nyaman, harga sesuai👍dengan menu. Pelayanan baik. Semoga sukses 🙏 …","bersih, nyaman, harga sesuai👍dengan menu. pelayanan baik. semoga sukses 🙏 …",0.0,0
Hokben Makan siang dulu Menu favorit buat anak anak pada doyan,hokben makan siang menu favorit anak anak doyan,0.0,0
"Nasinya nggak nentu, kadang dikit, kadang agak banyakan. Tapi seringnya lebih ke dikit sih nasinya. Kalo nasinya lebih banyakan bisa lah B5. Overall lauk pauknya enak, cuman minus nasi aja kedikitan","nasinya nggak nentu, kadang dikit, kadang banyakan. dikit sih nasinya. kalo nasinya banyakan b5. overall lauk pauknya enak, cuman minus nasi aja kedikitan",0.0,0
"Saya order via ojol, lumayan cepat: cuma 20 menit sudah sampai, tapi Egg chicken rollnya terlalu kering, mungkin karena sudah terlalu lama di jalan (?)","order via ojol, lumayan cepat: 20 menit sampai, egg chicken rollnya kering, jalan (?)",0.0,0
"Good choice for a quick meal, as the place is usually quiet and fast service. All set menus are great, I love the chicken teriyaki set, cooked nicely and tender meat. Clean and spacious place, and not noisy unless there is a kid birthday party. Free refill if you buy Ocha.","good choice for a quick meal, as the place is usually quiet and fast service. all set menus are great, i love the chicken teriyaki set, cooked nicely and tender meat. clean and spacious place, and not noisy unless there is a kid birthday party. free refill if you buy ocha.",0.973,1
"makanannya enak dan cukup terjangkau. terlebih lagi pelayanannya sangat baik, ramah, dan cukup cepat. terima kasih","makanannya enak terjangkau. pelayanannya baik, ramah, cepat. terima kasih",0.0,0
Biasanya daging bida req di sini ga bisa Pelayanan lama Bikin ngga enak makan …,daging bida req ga pelayanan bikin ngga enak makan …,0.0,0
"Mbak nya ga asik. Pilih kasih. Saya ga dibolehin beli Paket happy bundling bln februari, dibilangnya berlaku senin-jumat pdhl di depan store tertera berlaku setiap hari. Setelah saya bayar, pembeli setelah saya dibolehin beli paket happy bundling. Khan ngeselin.","mbak nya ga asik. pilih kasih. ga dibolehin beli paket happy bundling bln februari, dibilangnya berlaku senin-jumat pdhl store tertera berlaku hari. bayar, pembeli dibolehin beli paket happy bundling. khan ngeselin.",0.8126,1
"Mantaps, tempatnya masih sama dari jaman dulu, banyak kenangan di sini","mantaps, tempatnya jaman dulu, kenangan",0.0,0
"Enak, ga eneg, murce krn ada promo makanya banyakin promo entar sering mampir","enak, ga eneg, murce krn promo banyakin promo entar mampir",0.0,0
Hoben merupakan salah satu resto dengan menu andalan cepat sajinya. Kalau kesini sih aku lebih suka gorengan-gorengan kaya chicken egg roll nya paling demen. …,hoben salah resto menu andalan cepat sajinya. kesini sih suka gorengan-gorengan kaya chicken egg roll nya demen. …,0.0,0
Pelayan tidak welcome sama pelanggan. Tanya menu katanya tidak ada. Sampai saya harus kedepan pintu masuknya. Setelah kembali ternyata menu ada di flyer dan baru dikasih. TOLONG JANGAN MEMPERMAINKAN DONG. MASAK DITANYA MENU TIDAK ADA. …,pelayan welcome pelanggan. menu ada. kedepan pintu masuknya. menu flyer dikasih. tolong mempermainkan dong. masak menu ada. …,0.4588,1
"Klo pingin makan kenyang dan enak.. Ya di sini tempatnya.. Paling suka supnya.. Bisa refill teh oca sepuasnya.. Bagi yg suka ya.. 😅, disini antri banget.. Tempatnya juga bagus. …","klo pingin makan kenyang enak.. ya tempatnya.. suka supnya.. refill teh oca sepuasnya.. yg suka ya.. 😅, antri banget.. tempatnya bagus. …",0.0,0
"Pelayanan ramah, tempat bersih, makanan sesuai menu, tersedia banyak tempat, luas, sejuk","pelayanan ramah, bersih, makanan sesuai menu, tersedia tempat, luas, sejuk",0.0,0
Uma!! Gak usah diragukan lagi taste nya,uma!! gak diragukan taste nya,0.0,0
"Suka sekali mampir kesini klo ke delta palza tp gak ada area bermain anak ,","suka mampir kesini klo delta palza tp gak area bermain anak ,",0.0,0
"Good place for lunch or dinner Located inside the mall The staffs were friendly and helpful, the food was also good","good place for lunch or dinner located inside the mall the staffs were friendly and helpful, the food was also good",0.8957,1
Menu ini enak bgt banyak variasinya,menu enak bgt variasinya,0.0,0
"Selalu kangen dg salad, ekkado n beef nya Untuk tempat ok sih","kangen dg salad, ekkado n beef nya ok sih",0.296,1
"Maaf untuk pelayanan kurang menyenangkan, booking tempat untuk buka puasa katanya secara tidak langsung tidak bisa (meskipun booking tempat nanti juga sama"" Ngantri normal). Coba nilai sendiri ya 👍 padahal saya cuma mau sama istri saya aja makan disini. Terima kasih 🙏💕 …","maaf pelayanan menyenangkan, booking buka puasa langsung (meskipun booking sama"" ngantri normal). coba nilai ya 👍 istri aja makan disini. terima kasih 🙏💕 …",0.0,0
"Sebenernya enak sih makanannya, tapi kdng agak kotor ajasih. Ga parah.","sebenernya enak sih makanannya, kdng kotor ajasih. ga parah.",0.0,0
"Lumayan sering mampir untuk makan malam saat berkunjung di Plaza Mall Surabaya bersama keluarga karena selain makanannya yang enak dan mengenyangkan, ada paket value set yang lumayan ramah didompet. Pelayanannya ramah dan sabar serta tempatnya nyaman.","lumayan mampir makan malam berkunjung plaza mall surabaya keluarga makanannya enak mengenyangkan, paket value set lumayan ramah didompet. pelayanannya ramah sabar tempatnya nyaman.",0.34,1
Enak makannya Ramah pelayanannya Tempatnya luas dan bersih serta santai,enak makannya ramah pelayanannya tempatnya luas bersih santai,0.0,0
"Tempatnya luas, bersih, makananny enak,stafnya juga ramah","tempatnya luas, bersih, makananny enak,stafnya ramah",0.0,0
"Sudah sering sejak dulu makan disini, kemarin nyobain menu baru ramen. Enak. Yang bikin kehilangan adalah tempat duduk khas yg kainya bisa masuk seperti dulu. Bukan kursi sekarang ini.","makan disini, kemarin nyobain menu ramen. enak. bikin kehilangan duduk khas yg kainya masuk dulu. kursi ini.",0.0,0
suka egg chiken rollnya.. suka salad nyaa tapi suka sedih kalo pas dapet salad makin dikit😂😂😂😂 …,suka egg chiken rollnya.. suka salad nyaa suka sedih kalo pas dapet salad dikit😂😂😂😂 …,0.0,0
"Hokben disini tidak terlalu ramai jdi cocok untuk yg mau makan malam bersama teman sambil nongki. Untuk makanan jangan ditanya ya, pasti enak. Untuk yg mau hemat pesan aja value set upgrade dumpling cuma +5rb udah worth it banget dapet minum ocha","hokben ramai jdi cocok yg makan malam teman nongki. makanan ya, enak. yg hemat pesan aja value set upgrade dumpling +5rb udah worth it banget dapet minum ocha",0.5719,1
"Tempatnya bersih dan nyaman lalu tidak seberapa ramai jadi santai, tersedia pilihan menu, yaa overall sih okeeehhh","tempatnya bersih nyaman ramai santai, tersedia pilihan menu, yaa overall sih okeeehhh",0.0,0
Terlalu lama karyawan banyak kayak gitu gak mau keluar cara melayani castamer gak ada,karyawan kayak gitu gak melayani castamer gak,0.0,0
"Makanan over all enak soalnya standart disemua hokben sama, layanan juga okr suasana agak sedikit berantakan mungkin karena rame jadi telat cleaningnya dan pengunjung nya pada males bebersih sendiri habis makan","makanan over all enak standart disemua hokben sama, layanan okr suasana berantakan rame telat cleaningnya pengunjung nya males bebersih habis makan",0.0,0
"Tempatnya cukup luas, dekat sama ATM center, jadi kalau tidak ada cash, bisa tarik tunai dulu. Tempatnya bersih, pelayannya juga ramah-ramah. Menyediakan minuman (teh ocha) gratis isi ulang, disamping tempat sambal dan saos.","tempatnya luas, atm center, cash, tarik tunai dulu. tempatnya bersih, pelayannya ramah-ramah. menyediakan minuman (teh ocha) gratis isi ulang, disamping sambal saos.",0.0516,1
Pegawai cewek gemuk yg sopan lihat kl orderan dah jadi knp driver suruh duduk nunggu.itu orderan dr tadi lol.cumqn drivernya ngambil orderan dr resto satunya.kebetulan dpat orderan sekaligus. Pegawai cewek gemuk,pegawai cewek gemuk yg sopan lihat kl orderan dah knp driver suruh duduk nunggu.itu orderan dr lol.cumqn drivernya ngambil orderan dr resto satunya.kebetulan dpat orderan sekaligus. pegawai cewek gemuk,0.0,0
"Menu buat dewasa dan anak-anak ada, enak, nyaman.","menu dewasa anak-anak ada, enak, nyaman.",0.0,0
Resto favorit keluarga kami. Ada yg lesehan dgn posisi kaki di bawh meja. Seruuu,resto favorit keluarga kami. yg lesehan dgn posisi kaki bawh meja. seruuu,0.0,0
"Hokben oh hokben. Baru kali ini aku kecewa sekali dengan performamu. Semua baik baik saja sampai aku yang bodoh ini mencoba untuk pesan menu barumu yang unagi itu. Pas datang astaganaga baunya nyengat banget, bukan bau fresh atau sausnya …","hokben oh hokben. kali kecewa performamu. bodoh mencoba pesan menu barumu unagi itu. pas astaganaga baunya nyengat banget, bau fresh sausnya …",0.3182,1
Dari dulu makananya mantap,makananya mantap,0.0,0
Enakkkk. Pas di kantong.,enakkkk. pas kantong.,0.0,0
"saya pesan take away dijanjikan kasir tunggu 8-10menit, waktu saya tagih lebih 15 menit, kasirnya ganti dan bilang sabar mas yg bikinkan cuma 1. WOw kalo gitu jgn janji dan sama coutomers yg lebih ramah, parah2!!!","pesan take away dijanjikan kasir tunggu 8-10menit, tagih 15 menit, kasirnya ganti bilang sabar mas yg bikinkan 1. wow kalo gitu jgn janji coutomers yg ramah, parah2!!!",0.6884,1
Tempat makan HokBen favorit di Surabaya dari jaman kuliah.,makan hokben favorit surabaya jaman kuliah.,0.0,0
nggak afdol kalo ngga nambah salad 😋😋 …,nggak afdol kalo ngga nambah salad 😋😋 …,0.0,0
"Menunya lumayan banyak pilihan,suasana pas saya makan tidak terlalu ramai,pelayanan cepat","menunya lumayan pilihan,suasana pas makan ramai,pelayanan cepat",0.0,0
kangen duduk nya yang lesehan dulu,kangen duduk nya lesehan,0.0,0
Sepi ya skg delta. Jd aga krg fresh de gorengane ya d tingkatkan biar g terlihat suram g ad musik ato apa sunyi senyap,sepi ya skg delta. jd aga krg fresh de gorengane ya d tingkatkan biar g suram g ad musik ato sunyi senyap,0.3182,1
Tempat nyaman dengan makanan jepang yang cocok di lidah orang indonesia. Dengan harga terjangkau.,nyaman makanan jepang cocok lidah orang indonesia. harga terjangkau.,0.0,0
Tolong bagi pihak resto ni aplikasinya udh buka jam 8 pagi tapi knpa sya pas dpat orderan jam 9 30 makananya belom da yg masak semua.. Tolong d perhatikan kasihan kita sebagai driver harus nunggu sampai 30 atau menit karna waktu kami sebagai driver sangatlah berharga,tolong resto ni aplikasinya udh buka jam 8 pagi knpa sya pas dpat orderan jam 9 30 makananya belom da yg masak semua.. tolong d perhatikan kasihan driver nunggu 30 menit karna driver berharga,0.0,0
"Setiap senin ada promo buy 1 get 1 bento spesial dengan menggunakan uob one card atau niaga paywave.. bisa juga menggunakan aplikasi dana dapat cashback 50% maks. 25k, kalau aplikasi gopay cashback 20% maks 20k.. rasa standart tapi untuk menu cemilan lebih enak hokben daripada yoshinoya, menurut saya..","senin promo buy 1 get 1 bento spesial uob one card niaga paywave.. aplikasi dana cashback 50% maks. 25k, aplikasi gopay cashback 20% maks 20k.. standart menu cemilan enak hokben yoshinoya, saya..",0.0,0
Makanan yang dikangenin. Kadang pakai mobile payment bisa dapat lebih murah.,makanan dikangenin. kadang pakai mobile payment murah.,0.0,0
Pelayanan buruk datang pertama Ndak di layani udah kelewat 2orang,pelayanan buruk ndak layani udah kelewat 2orang,0.0,0
"Menu baru (salad bowl) nya enak, dan sudah tidak ada pilihan rasa saus untuk saladnya, entah itu karena sisa 1 rasa atau memang sudah di modifikasi dan improvisasi, sehingga saus yg baru rasa lebih enak","menu (salad bowl) nya enak, pilihan saus saladnya, sisa 1 modifikasi improvisasi, saus yg enak",0.0,0
"Resto Jepang yg bukan produk Jepang ini selalu jd andalan di saat perut keroncongan, value dan favorite set menu paling favorit...cuma skrg kalau jam makan siang kasian pelayanannya agak kerepotan krn hrs berjibaku melayani customer biasa dan pak grab dan gojek, Semangat Terus dan sukses !!!","resto jepang yg produk jepang jd andalan perut keroncongan, value favorite set menu favorit...cuma skrg jam makan siang kasian pelayanannya kerepotan krn hrs berjibaku melayani customer grab gojek, semangat sukses !!!",0.7412,1
"Tempatnya strategis depan penginapan saya,tinggal nyebrang aja..letak hokben.nya deket sama miniso..jadi kalo kesini sblm makan mampir dulu ke miniso ato sebaliknya..hehe..menu.nya ada teriyaki,yakiniku,shrimp.roll dll.tpi yang paling aku …","tempatnya strategis penginapan saya,tinggal nyebrang aja..letak hokben.nya deket miniso..jadi kalo kesini sblm makan mampir miniso ato sebaliknya..hehe..menu.nya teriyaki,yakiniku,shrimp.roll dll.tpi …",0.0,0
"Sebenarnya rasa masih paling enak, tetapi saladnya sekarang menyedihkan 😭😭😭... biasanya sih full kol timbang wortel tapi porsi lebih banyak dulu... sekarang 😣😣 …","enak, saladnya menyedihkan 😭😭😭... sih full kol timbang wortel porsi dulu... 😣😣 …",0.0,0
"Merupakan jalan keluar untuk memilih tempat makan. Saya rasa semua hokben sama saja. Setelah beberapa kali kesini, menjelang tutup sekitar jam 9 pasti ada makanan yang tidak lengkap. Jadi kalau mau lengkap lebih baik datang pas jam makan malam.","jalan memilih makan. hokben saja. kali kesini, menjelang tutup jam 9 makanan lengkap. lengkap pas jam makan malam.",0.0,0
"Tempatnya sangat Nyaman dan Makanannya sangat2 Enak dan Lezat 👍👍👍 harganya pun terjangkau juga, pokoknya sangat2 Cocok untuk sekeluarga. …","tempatnya nyaman makanannya sangat2 enak lezat 👍👍👍 harganya terjangkau juga, pokoknya sangat2 cocok sekeluarga. …",0.0,0
"Semoga tidak terulang lagi..ksalahan pemberian pesanan. Saat order via gofood. Karena walapun pihak resto mau antar ulang, sy tetap dirugikan krn mnunggu lbh lama.makasi","semoga terulang lagi..ksalahan pemberian pesanan. order via gofood. walapun resto ulang, sy dirugikan krn mnunggu lbh lama.makasi",0.0,0
"pelayanan lama,makanan tidak ready ( shumay steam ) restaurant fast food TAPI gak READY ( agak aneh ) ada pesanan baru d buat.sudah pesan minta d batalkan krn gak READY,tapi kata krywn nya sudah terlanjur dibuat, ok d tunggu 15menit.setelah …","pelayanan lama,makanan ready ( shumay steam ) restaurant fast food gak ready ( aneh ) pesanan d buat.sudah pesan d batalkan krn gak ready,tapi krywn nya terlanjur dibuat, ok d tunggu 15menit.setelah …",0.7351,1
"Pengalaman di hokben itu pelit sendok padahal menu dipesan 4 ,tapi minta sendok tambahan 2 pcs saja ,sumpit saya langsung diambil 2 sebagai gantinya sendok plastik yg saya minta.itu makan ditempat bukan untuk dibawa.perasan cuman hokben di delta saja pelayanan demikian.saya di tunjungan saja mendapat pelayanan levih memuaskan","pengalaman hokben pelit sendok menu dipesan 4 ,tapi sendok tambahan 2 pcs ,sumpit langsung diambil 2 gantinya sendok plastik yg minta.itu makan ditempat dibawa.perasan cuman hokben delta pelayanan demikian.saya tunjungan pelayanan levih memuaskan",0.0,0
"Pelayanan ramah,makanannya juga enak..harga terjangkau,g rugi deh kalau ajak teman dan klg makan bersama d hokben delta..","pelayanan ramah,makanannya enak..harga terjangkau,g rugi deh ajak teman klg makan d hokben delta..",0.0,0
ada outletnya sendiri. luas dan selalu tersedia menunya. tapi promo buy 1 get 1 dengan kartu visa jenius kemarin ga bisa diterima oleh mereka,outletnya sendiri. luas tersedia menunya. promo buy 1 get 1 kartu visa jenius kemarin ga diterima,0.0,0
"Makin hari, layanan sangat lemot. Tdk di rekomendasikan buat ojol. Sangat lambat","hari, layanan lemot. tdk rekomendasikan ojol. lambat",0.0,0
"Tempatx ok nyaman ramah n g buru"" diusir kalo kelar makan. Kebtulam kalo buber slu ksna sm kuarga g kayak tmpt mkn yg pdt kalo pas buber"" gt pst ngusir alus wkwk","tempatx ok nyaman ramah n g buru"" diusir kalo kelar makan. kebtulam kalo buber slu ksna sm kuarga g kayak tmpt mkn yg pdt kalo pas buber"" gt pst ngusir alus wkwk",0.5106,1
"Bagus, bersih, cuman waktu Buka Puasa, staff ditambah, kasian numpuk yang antri buat buka puasa.","bagus, bersih, cuman buka puasa, staff ditambah, kasian numpuk antri buka puasa.",0.0,0
Pelayanan cepat dan bagus. Makanan enak. Cuma waktu minum ocha nya kerasa bau kecut. Jadi saya beli jenis minuman lain.,pelayanan cepat bagus. makanan enak. minum ocha nya kerasa bau kecut. beli jenis minuman lain.,0.0,0
"Kenyang abis hehe, suka pelayanannya ramah.. waktu itu ramean bareng keluarga dan sodara, bersih dan well budayakan ngebersihin bekas makanan dimanapun ya, keliatannya kalo ga diberesin tuh jijik nyampah banget","kenyang abis hehe, suka pelayanannya ramah.. ramean bareng keluarga sodara, bersih well budayakan ngebersihin bekas makanan dimanapun ya, keliatannya kalo ga diberesin tuh jijik nyampah banget",0.2732,1
okee disini,okee,0.0,0
"Pelayanan cepat, dan juga ramah. Kalau datang saat jam makan siang pasti selalu penuh.","pelayanan cepat, ramah. jam makan siang penuh.",0.0,0
